Latitude (°),Lognitude(°),,,,,,,,,,,,,,,,,,,,Reference Field (Before),,,
75,30,,,105,,,180,,,225,,,330,,,405,,,,,ave,min,max,
x,-2.009775287,-2.030311299,-1.986222137,-2.260824379,-2.293009224,-2.235142198,-2.396467898,-2.410580323,-2.381187548,-2.26696815,-2.322401998,-2.249838586,-1.92299604,-1.971525749,-1.913658724,-2.040822622,-2.059704074,-2.015614912,,x,-2.241176477,-2.264534973,-2.205749424,
z,-2.569313055,-2.591203296,-2.533502587,-2.672334872,-2.72309063,-2.620511592,-2.633030699,-2.649819889,-2.620511592,-2.541745545,-2.649819889,-2.50419429,-2.562283188,-2.620511592,-2.533502587,-2.634001172,-2.693782334,-2.591203296,,z,-5.29412941,-5.343435524,-5.212464074,
,,,,,,,,,,,,,,,,,,,,,Reference Field (After),,,
60,0,,,75,,,150,,,225,,,300,,,375,,,,,ave,min,max,
x,-1.948739049,-1.971525749,-1.913658724,-2.164482746,-2.176356649,-2.146963874,-2.437333101,-2.468447348,-2.410580323,-2.28369624,-2.322401998,-2.249838586,-1.958131112,-1.986222137,-1.943051499,-1.971294598,-1.986222137,-1.957747886,,x,-2.241985508,-2.278312836,-2.205749424,
z,-2.949417158,-2.985033531,-2.897108642,-3.08359117,-3.101350833,-3.072042537,-2.870996842,-2.926416938,-2.810099636,-2.511333335,-2.591203296,-2.460231845,-2.582669195,-2.635165741,-2.562810883,-3.014742148,-3.057388389,-2.985033531,,z,-5.272803257,-5.343435524,-5.212464074,
,,,,,,,,,,,,,,,,,,,,,,,,
30,60,,,135,,,210,,,285,,,360,,,,,,,,,,,
x,-2.143849408,-2.161660261,-2.103793236,-2.430781773,-2.468447348,-2.410580323,-2.374082672,-2.395883935,-2.366491161,-2.042087874,-2.059704074,-2.030311299,-1.940143853,-1.971525749,-1.913658724,,,,,,,,,
z,-4.442787687,-4.48433608,-4.382672926,-4.107240445,-4.16469247,-4.062113432,-3.333985438,-3.363293734,-3.31933129,-3.296974009,-3.333985438,-3.290938877,-4.031537454,-4.091421728,-3.989758574,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
0,0,,,60,,,120,,,180,,,240,,,300,,,,,,,,
x,-1.935891876,-1.971525749,-1.913658724,-2.147547836,-2.161660261,-2.132267487,-2.411766496,-2.439054573,-2.381187548,-2.501538552,-2.527232898,-2.468447348,-2.30026009,-2.337098386,-2.264534973,-2.038194792,-2.045007686,-1.986222137,,,,,,
z,-5.379731229,-5.416706266,-5.358089672,-5.9558285,-5.984554512,-5.925937919,-5.818160783,-5.853583062,-5.78031232,-5.097117245,-5.125455068,-5.081492623,-4.593860068,-4.644615827,-4.557606821,-4.802463325,-4.83420387,-4.732540717,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
-30,15,,,90,,,165,,,240,,,315,,,390,,,,,,,,
x,-1.969214232,-1.986222137,-1.943051499,-2.273470815,-2.293009224,-2.249838586,-2.569959481,-2.586018447,-2.541929285,-2.322401998,-2.337098386,-2.307705611,-2.011429848,-2.030311299,-1.986222137,-1.984178268,-2.015614912,-1.971525749,,,,,,
z,-7.164310498,-7.178867599,-7.134905154,-7.599416181,-7.658790956,-7.557127802,-7.010435876,-7.047896149,-6.945317111,-6.206623088,-6.231843265,-6.188796704,-6.489164286,-6.508440314,-6.465393754,-7.291691197,-7.353801495,-7.251222456,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
-60,0,,,75,,,150,,,225,,,300,,,375,,,,,,,,
x,-1.90149284,-1.913658724,-1.884265949,-2.167986521,-2.205749424,-2.132267487,-2.559965208,-2.599796311,-2.541929285,-2.459408097,-2.483143736,-2.42527671,-2.050458002,-2.074400461,-2.015614912,-1.915215957,-1.943051499,-1.898962337,,,s,,,
z,-8.124102623,-8.139630197,-8.110321901,-8.634565565,-8.678170148,-8.591161142,-8.362020242,-8.445535543,-8.329218241,-7.758943811,-7.790678291,-7.717407549,-7.750118568,-7.819070703,-7.673445104,-8.253060341,-8.329218241,-8.212900939,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
-75,45,,,120,,,195,,,270,,,345,,,420,,,,,,,,
x,-1.915507938,-1.957747886,-1.898962337,-2.380311604,-2.395883935,-2.337098386,-2.532196578,-2.556625673,-2.51253651,-2.065251717,-2.103793236,-2.030311299,-1.738609908,-1.767613374,-1.708827825,-1.89419331,-1.913658724,-1.869569562,,,,,,
z,-8.733875321,-8.810057482,-8.692824296,-9.05899604,-9.10130868,-8.984075493,-8.371045644,-8.373180686,-8.358526538,-8.080576891,-8.124976049,-8.052621192,-8.306509164,-8.343872389,-8.270601648,-8.815085748,-8.838449895,-8.810057482,,,,,,
